date,user_name,text
1/10/2021 15:13,Ns. Bayu Aji Sismanto,#vaksin untuk #indonesia https://t.co/URgujrcKUn
1/10/2021 16:14,DiskominfoKotaBogor,Tak Kenal maka Tak Kebal. Vaksin menjadi bukti manusia berjuang menjaga eksistensinya di dunia ini. Vaksin juga menâ€¦ https://t.co/tQ97R12mXs
1/10/2021 16:33,Indah Nur Hidayah,Sistem satu data mendukung Vaksinasi di Indonesia #Vaksin #Covid19 #CoronaVirus #Kesehatan https://t.co/gqyLHMdhOh
1/11/2021 0:24,BaBe - Baca Berita,Apa Perbedaan Vaksin China Sinovac dan Sinopharm serta Merek Lain? #Vaksin #Perusahaanfarmasi #Virus #Farmasiâ€¦ https://t.co/rJ2Ltk3vGz
1/11/2021 0:30,BaBe - Baca Berita,Dua Lagi Obat yang Dapat Selamatkan Nyawa Pasien COVID-19 Ditemukan #Infus #Virus #Wabah #Radang #Vaksinâ€¦ https://t.co/QKrbcMVHwn
1/11/2021 1:00,ET News Indonesia,"Vaksin buatan Tiongkok kembali dipertanyakan, orang tua tidak boleh suntik!

Nonton video selengkapnya di:â€¦ https://t.co/LEvCSTQ1T1"
1/11/2021 2:04,Disperindag Prov. Jateng #jateng70 #hutri75,"Mengenal Vaksin Covid-19 !!
#vaksin
#vaksincorona https://t.co/H64BZ8tVoC"
1/11/2021 2:11,Seputar Info Indonesia,"Lawan #COVID19 dengan #solidaritas bukan stigma.

#Covid19 #VirusCorona #SocialDistancing #PhysicalDistancingâ€¦ https://t.co/KAJ1uaRc0M"
1/11/2021 2:11,Seputar Info Indonesia,"Vaksinasi Covid-19 segera dimulai, tetap jaga protokol kesehatan.

#Covid19 #VirusCorona #SocialDistancingâ€¦ https://t.co/TvhHTlh3Cg"
1/11/2021 2:24,dinkes pati,"Mari siapkan diri untuk vaksinasi saat vaksin siap.

Tetap laksanakan protokol kesehatan 3M: Memakai masker denganâ€¦ https://t.co/fcXhku8aB8"
1/11/2021 2:28,Ananda Jaya,"Vaksinya halal yaa

#Vaksin
#Pandemi 
#Indonesia 
#Virus
#IndonesiaKuat https://t.co/8X6flriIgM"
1/11/2021 2:28,Ananda Jaya,"Menjadi orang pertama yang di suntik

#Vaksin
#Pandemi 
#Indonesia 
#Virus
#IndonesiaKuat https://t.co/nwSXga20NO"
1/11/2021 2:29,Ananda Jaya,"Lebih baik mencegah toh

#Vaksin
#Pandemi 
#Indonesia 
#Virus
#IndonesiaKuat https://t.co/N79qIIX0gV"
1/11/2021 2:30,Ananda Jaya,"Sudah mendapat status halal yaa

#Vaksin
#Pandemi 
#Indonesia 
#Virus
#IndonesiaKuat https://t.co/wxe2pNevmE"
1/11/2021 2:30,Ananda Jaya,"Simak yang boleh dan tidak

#Vaksin
#Pandemi 
#Indonesia 
#Virus
#IndonesiaKuat https://t.co/NkSUOhhiq5"
1/11/2021 2:43,BaBe - Baca Berita,Video Tenaga Kesehatan Tolak Vaksin Covid-19 Viral #Vaksin #Vaksinasi #AntibodiD #idi #TenagaKesehatanâ€¦ https://t.co/jEGVT2utr2
1/11/2021 3:57,Pikiran Rakyat,"Berharap Tak Muncul Lagi Gelombang Pandemi, Tiongkok Gratiskan Vaksin Covid-19 untuk Warganya
#Pandemi #Tiongkokâ€¦ https://t.co/iSzjZMl244"
1/11/2021 4:15,BaBe - Baca Berita,Hari Ini BPOM Putuskan Izin Darurat Vaksin Corona Sinovac #Vaksin #Vaksinasi #BadanPOM #Virus #Plaseboâ€¦ https://t.co/B6sYgsZwxC
1/11/2021 4:45,edi yang biru,"Bagi kita mendengar kata-kata #Vaksin tentu sesuatu hal yang biasa saja, tetapi bagi yang memiliki pengalaman seperâ€¦ https://t.co/Y0kvNKbTIV"
1/11/2021 5:49,BBS TV Official,"POSITIF COVID-19! GUBERNUR JATIM TAK PERLU DIVAKSIN
&gt;&gt;&gt;
https://t.co/bmFsdef03e
.
.
#covid19 #pandemi #vaksinâ€¦ https://t.co/nxWpCAI4Ko"
1/11/2021 6:12,Redaksi Sinar Harapan,Mentri Koordinator (Menko) Bidang Kemaritiman dan Investasi Luhut Binsar Pandjaitan memastikan program vaksinasi COâ€¦ https://t.co/HuHt3R7MLo
1/11/2021 6:39,RRI Surabaya,"Siap demam lur? ðŸ˜

#vaksin #vaksincovid19 #sinovac #covid19 #rrisurabaya #rri

https://t.co/4osp6EdbLc"
1/11/2021 6:54,BaBe - Baca Berita,Catat! Orang Dengan Kondisi Kesehatan Ini Tidak Bisa Dapat Vaksin Covid-19 #Vaksin #Vaksinasi #TERAPIâ€¦ https://t.co/UovQCLPnqb
1/11/2021 7:12,Halal Indonesia #LPPOMMUISiap,"#SobatHalalMUI, meski vaksin produksi Sinovac halal tlh difatwakan halal dan suci, namun penggunaannya masih menungâ€¦ https://t.co/7RibDb43x6"
1/11/2021 7:15,newsmerahputih,"MUI Pusat telah menetapkan bahwa vaksin COVID-19 produksi Sinovac halal dan suci.

#merahputihcom #MUI #vaksinâ€¦ https://t.co/71Q7GYIsOe"
1/11/2021 7:28,projer,"percaya vaksin akhiri pandemi

Hotline #Vaksin #Covid 

#IndonesiaMaju
#Jokowi 
#Jokowidodo https://t.co/XzbkPqonMa"
1/11/2021 7:46,Geisha Ayu,Ayo Dukung!! Hidup sehat tanpa Covid-19 dengan melakukan vaksinasi covid-19 #vaksinasi https://t.co/1bcPaoTNmO
1/11/2021 7:46,Mia Amelia,Majelis Ulama endonesia psstikan vaksin Covid-19 dr sinovac halal n sucinya #vaksinasi https://t.co/VGCYWNRzAQ
1/11/2021 7:47,Deandra Putri,yuks suport !!hidupku sehad tnpa Covid-19 dngan mlkukn vaksinasi covid-19 #vaksinasi https://t.co/C4KBel70aQ
1/11/2021 7:47,Sukma Putri,necis ustazah Republik Indonesia yakinkan vaksin covid-19 dari sinovac resmi dan sakral #vaksinasi https://t.co/K1heB5DEhn
1/11/2021 7:48,Rania Putri,yuk bopong !!membesar waras minus covid-19 dengan melayani vaksinasi covid-19 #vaksinasi https://t.co/RvlhnrurxR
1/11/2021 7:48,Rina Ayu,yuk bopong !agenda vaksinasi covid-19 biar orang Provinsi Sumatera Utara percuma dari covid-19 #vaksinasi https://t.co/hEPrVEffEY
1/11/2021 7:48,Syasqia Ayu,Majelis Ulama endonesia psstikan vaksin Covid-19 dr sinovac halal dn sucinya #vaksinasi https://t.co/byJ4BWRgcP
1/11/2021 7:48,Jeihani Putri,ayok support !!hidupku damang tampa Covid-19 dgan melakukn vaksinasi covid-19 #vaksinasi https://t.co/hijXVOGA7m
1/11/2021 7:49,Ajeng Sunthi,nyok dkng !prgrm vaksinasi covid-19 spya wrga Sumut bbs dri covid-19 #vaksinasi https://t.co/Ca0viN8ilx
1/11/2021 7:49,RMOL Jateng,"Soal Distribusi #Vaksin di #salatiga , Ketua DPRD Ingin Ada Simulasi #KlikRMOL 
https://t.co/lC6FYwysCz"
1/11/2021 7:49,Erni Putri,marilah gendong !tata olah vaksinasi covid-19 biar kelompok Sumut sukarela dari covid-19 #vaksinasi https://t.co/oFdqOdrUSS
1/11/2021 7:50,Zara Ayu,marilah bawa !!berjiwa bugar minus covid-19 dengan mengadakan vaksinasi covid-19 #vaksinasi https://t.co/zGhi5xc1e6
1/11/2021 7:50,Syifa Tiana,ayok dkng !!hidupku sehad tampa Covid-19 dgn mlkukn vaksinasi covid-19 #vaksinasi https://t.co/pHHSJt4OZp
1/11/2021 7:50,Hanifah Putri,cantik rohaniwan RI yakinkan vaksin covid-19 dari sinovac resmi dan nirmala #vaksinasi https://t.co/qa91nsAh6r
1/11/2021 7:51,Gina Amelia,ayoo ndukung !prgrm vaksinasi covid-19 spya wargi Sumut bbs dri covid-19 #vaksinasi https://t.co/Ff7eBjmm5P
1/11/2021 7:51,Cika maulani,silAkan gendong !!bernapas afiat sonder covid-19 dengan melaksanAkan vaksinasi covid-19 #vaksinasi https://t.co/W3J9t1SSdN
1/11/2021 7:52,Hanin Dita,nyok suport !!hdup shat tampa Covid-19 dngan melakukn vaksinasi covid-19 #vaksinasi https://t.co/zoPQQaDLfg
1/11/2021 7:52,Mia Amelia,ayoo ndukung !prgrm vaksinasi covid-19 spy wrga Sumut bbs dr covid-19 #vaksinasi https://t.co/zI3OIVyQvZ
1/11/2021 7:54,Sukma Putri,yuk bawa !tata olah vaksinasi covid-19 biar bani Provinsi Sumatera Utara independen dari covid-19 #vaksinasi https://t.co/rOyhxgkgrI
1/11/2021 8:16,newsmerahputih,"Kenali fakta-fakta penting tentang vaksin COVID-19.

#merahputihcom #covid19 #vaksin https://t.co/nqioB3wi7r"
1/11/2021 8:48,Berita Covid,"#Vaksinasi COVID-19 di Sumut dimulai dari Medan, Binjai dan Deliserdang - ANTARA #Covid #Covid19 https://t.co/CFUyHgVmxu"
1/11/2021 8:49,Rakyat Merdeka,"Bila Ada Efek Samping Vaksin Pemerintah Tanggung Biaya Perawatan

#VaksinasiCovid19 #SitiNadia #Pemerintahâ€¦ https://t.co/kPJpqOfNOf"
1/11/2021 9:09,Rakyat Merdeka,"Besok, 15 Juta Bahan Baku Vaksin Covid Bakal Tiba Di Tanah Air

@BudiGSadikin #BahanBaku #VaksinCovid19â€¦ https://t.co/oKiGYpCSrZ"
1/11/2021 9:28,Muhammadiyah,"Menurut @Abe_Mukti  Muhammadiyah sendiri memiliki tiga sikap terkait program vaksinasi pemerintah. Pertama, Muhammaâ€¦ https://t.co/8JDdxsTkRb"
1/11/2021 9:28,Muhammadiyah,"Kedua, jika syarat pertama terpenuhi Muhammadiyah menurutnya akan mendukung agar vaksinasi berjalan dengan sebaik-bâ€¦ https://t.co/FidrmMU8Qu"
1/11/2021 9:28,Muhammadiyah,"Ketiga, Muhammadiyah meminta kepada semua pihak untuk menjadikan program vaksinasi sebagai gerakan sosial yang dipeâ€¦ https://t.co/bMQb06Q6Bo"
1/11/2021 9:28,MNC Trijaya 104.6 FM,"Izin penggunaan darurat vaksin Sinovac diumumkan Kepala BPOM Penny K. Lukito dalam konferensi pers secara virtual,â€¦ https://t.co/uvQ6j9Thau"
1/11/2021 9:45,Validnews Indonesia,"Insyaallah berita baik dari Badan Pengawas Obat dan Makanan (BPOM) juga bisa segera menyusul,"" ujar Budi Gunadi.â€¦ https://t.co/K7rMdy81Z6"
1/11/2021 10:04,DW Indonesia,"21 Desember 2020, Badan Pengawas Obat Eropa (EMA) dan Komisi Eropa mengizinkan penggunaan #vaksin virus coronaâ€¦ https://t.co/y4ddLmGwL9"
1/11/2021 10:08,Eka Hospital,"Yuk cek faktanya seputar vaksin virus corona di IG Live Eka Hospital bersama @sinar_masid pada hari Rabu, 13 Januarâ€¦ https://t.co/0WO4Sfnje9"
1/11/2021 10:45,simmanews,"info, Pekan ini tenaga kesehatan di Jabar mulai suntik vaksin Covid cek disini untuk selengkapnyaâ€¦ https://t.co/msZcLrS0lP"
1/11/2021 11:06,Fix Makassar,BPOM (@BPOM_RI) akhirnya mengeluarkan izin penggunaan darurat atau EUA untuk vaksin Covid-19. Penny menyebutkan sudâ€¦ https://t.co/lXf99CcXwL
1/11/2021 11:26,Teleskop,"Perkembangan #vaksin di #Indonesia, diiringi dengan kenaikan kasus #COVID19 yang memaksa kita pada PSBB. Ternyata nâ€¦ https://t.co/MxYGkyBSoC"
